活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,平均踏频,最大踏频,平均配速,最佳配速,平均步长,平均垂直比,平均垂直摆动,平均触地时间,Training Stress Score®,平均功率,最大功率,Grit,Flow,平均 Swolf,平均划桨率,总次数,潜水时长,最低温度,水面休息时间,减压,最佳单圈时间,圈数,最高温度,移动时间,全程用时,最低海拔,最高海拔
步行,2023-03-13 07:56:20,false,"步行","1.00","36","00:14:39","67","81","87","133","14:36","8:27","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","18.0","0:00","否","14:39.08","1","20.0","00:09:48","00:14:39","--","--"
步行,2023-03-12 21:58:28,false,"步行","1.25","101","00:16:21","106","133","97","151","13:04","6:46","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","16:20.100","1","22.0","00:11:01","00:16:21","--","--"
步行,2023-03-12 09:49:17,false,"步行","1.17","89","00:15:29","104","114","96","160","13:13","9:13","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","15:28.63","1","25.0","00:11:24","00:15:29","--","--"
步行,2023-03-11 21:31:10,false,"步行","1.28","100","00:22:05","110","119","86","185","17:17","9:10","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","22:05.46","1","26.0","00:15:22","00:22:05","--","--"
步行,2023-03-11 18:28:26,false,"步行","0.62","64","00:11:40","114","124","74","231","18:47","3:53","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","否","11:40.12","1","28.0","00:06:46","00:11:40","--","--"
步行,2023-03-11 08:58:33,false,"步行","1.11","87","00:15:59","113","123","90","132","14:25","9:37","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","15:58.52","1","30.0","00:11:37","00:15:59","--","--"
步行,2023-03-10 21:56:16,false,"步行","0.89","67","00:18:03","94","116","71","148","20:12","11:18","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","18:03.45","1","25.0","00:12:04","00:18:03","--","--"
步行,2023-03-10 18:22:30,false,"步行","0.70","81","00:17:00","105","123","60","234","24:13","4:51","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","否","16:59.54","1","29.0","00:06:34","00:17:00","--","--"
步行,2023-03-10 12:05:55,false,"步行","0.99","72","00:13:45","97","107","84","133","13:53","7:16","0.86","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","13:45.03","1","28.0","00:09:17","00:13:45","--","--"
步行,2023-03-10 08:06:34,false,"步行","1.00","76","00:15:34","110","125","84","141","15:39","8:16","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","15:34.08","1","28.0","00:11:59","00:15:34","--","--"
步行,2023-03-09 21:59:57,false,"步行","3.97","243","00:31:35","133","177","126","250","7:57","2:57","1.00","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","16.0","0:00","否","31:35.00","1","28.0","00:28:10","00:31:35","--","--"
步行,2023-03-09 19:03:43,false,"步行","1.26","68","00:15:15","104","120","92","228","12:07","3:56","0.90","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","27.0","0:00","否","15:14.51","1","28.0","00:11:16","00:15:15","--","--"
步行,2023-03-09 18:14:58,false,"步行","0.59","55","00:12:20","97","118","69","236","20:56","7:26","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","否","12:20.47","1","29.0","00:06:03","00:12:20","--","--"
步行,2023-03-09 08:08:56,false,"步行","1.31","92","00:18:12","108","129","91","247","13:52","2:59","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","18:12.18","1","27.0","00:14:19","00:18:12","--","--"
步行,2023-03-08 17:56:56,false,"步行","1.01","80","00:14:42","113","128","89","241","14:30","3:42","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","14:42.24","1","28.0","00:09:30","00:14:42","--","--"
步行,2023-03-07 18:33:21,false,"步行","0.79","69","00:11:26","111","126","90","136","14:24","9:10","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","11:26.47","1","25.0","00:07:58","00:11:26","--","--"
步行,2023-03-07 18:05:19,false,"步行","1.05","96","00:21:41","100","134","57","250","20:44","2:42","0.85","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","21:40.91","1","28.0","00:08:49","00:21:41","--","--"
步行,2023-03-07 07:41:40,false,"步行","1.03","86","00:15:38","108","122","86","142","15:13","7:01","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","否","15:38.03","1","21.0","00:10:49","00:15:38","--","--"
步行,2023-03-06 22:26:40,false,"步行","0.96","72","00:17:33","93","106","76","120","18:16","8:58","0.72","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","否","17:32.91","1","25.0","00:11:53","00:17:33","--","--"
步行,2023-03-05 19:36:06,false,"步行","5.77","331","01:05:37","109","124","108","233","11:22","4:06","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","01:05:37.49","1","25.0","01:01:29","01:05:37","--","--"
步行,2023-03-05 18:55:28,false,"步行","1.25","89","00:17:02","97","110","91","242","13:36","7:01","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","17:02.22","1","25.0","00:12:22","00:17:02","--","--"
步行,2023-03-05 12:47:26,false,"步行","0.47","73","00:14:12","110","125","53","156","30:28","9:47","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","14:12.02","1","29.0","00:06:36","00:14:12","--","--"
步行,2023-03-05 08:50:39,false,"步行","0.88","82","00:13:34","120","131","87","250","15:22","3:14","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","13:33.67","1","23.0","00:09:27","00:13:34","--","--"
步行,2023-03-04 21:58:04,false,"步行","0.97","80","00:16:01","99","113","83","146","16:34","9:18","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","否","16:00.64","1","21.0","00:10:26","00:16:01","--","--"
